metric,value
reviewedAt,2026-07-07
skus,398
families,11
groups,179
assets,10
skuImageStatus.representative,398
skuDataStatus.pending-source,106
skuDataStatus.complete,292
productTypeCounts.paper-cup-fan,292
productTypeCounts.paper-insert,25
productTypeCounts.corrugated-fluted-paper,20
productTypeCounts.paper-pad,19
productTypeCounts.white-cardboard,13
productTypeCounts.kraft-paper,10
productTypeCounts.food-packaging-box,9
productTypeCounts.specialty-paper,6
productTypeCounts.paper-packaging-material,4
missingProductLink,106
uniqueProductLinks,88
duplicateProductLinks,39
maxSkusPerProductLink,7
sourceDomains.www.shirongpaper.com,264
sourceDomains.m.alibaba.com,16
sourceDomains.www.alibaba.com,9
sourceDomains.shirongnewmaterial.en.alibaba.com,1
sourceDomains.chinese.alibaba.com,1
sourceDomains.arabic.alibaba.com,1
candidateImages,179
candidateDirectImageUrlFilled,0
candidatePermissionStatus.pending,179
candidateExactnessAssessment.uncertain,179
productionPromotedImages,0
packageCleanup,"screenshots, model backups, hidden scratch folders and tsbuildinfo removed in reviewed handoff package"
